,Country name,2019 year,2019 Life Ladder,2019 Log GDP per capita,2019 Social support,2019 Healthy life expectancy at birth,2019 Freedom to make life choices,2019 Generosity,2019 Perceptions of corruption,2019 Positive affect,2019 Negative affect,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018","All-cause death count, 2019","All-cause death count, 2020","Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
125,Tajikistan,2019,5.4639999999999995,8.126,0.88,64.4,,-0.045,0.49,0.7290000000000001,0.17800000000000002,9537642.0,9321018.0,0.9440000000000001,23.3,0.0,1.135,8.624,0.0,0.0,0.5539999999999999,34.0,32027.0,32699.0,33537.0,41743.0,95.32700000000001
126,Tanzania,2019,3.64,7.886,0.687,58.0,0.85,0.1,0.589,0.726,0.243,59734213.0,58005463.0,0.035,17.7,0.0,0.732,9.152999999999999,0.0,0.0,0.621,37.78,,,,,
127,Thailand,2019,6.022,9.824,0.903,67.4,0.898,0.309,0.877,0.843,0.20800000000000002,69799978.0,69625582.0,0.09,40.1,0.0,0.7509999999999999,8.27,0.0,0.0,0.354,35.315,468911.0,473541.0,506211.0,501438.0,26.61
128,Togo,2019,4.178999999999999,7.375,0.539,55.1,0.617,0.065,0.737,0.59,0.444,8278737.0,8082366.0,0.821,19.4,0.0,0.966,9.329,0.0,1.0,0.212,43.06,,,,,
129,Tunisia,2019,4.315,9.283,0.61,67.2,0.659,-0.209,0.889,0.539,0.433,11818618.0,11694719.0,39.565,32.7,0.0,3.0180000000000002,9.118,0.0,0.0,0.129,32.82,,,,,
130,Turkey,2019,4.872,10.245999999999999,0.792,67.2,0.631,-0.136,0.76,0.42200000000000004,0.368,84339067.0,83429615.0,24.758000000000003,31.6,0.0,2.0669999999999997,8.952,0.0,0.0,0.295,40.55,,,,,
131,Turkmenistan,2019,5.474,9.651,0.982,62.6,0.892,0.285,,0.51,0.183,5942089.0,5942089.0,,,0.0,1.463,8.735,0.0,0.0,0.511,26.5,,,,,
132,Uganda,2019,4.948,7.688,0.805,56.1,0.7040000000000001,0.139,0.826,0.693,0.385,45741000.0,44269594.0,0.5489999999999999,16.4,0.0,0.816,9.142999999999999,0.0,0.0,0.239,42.75,,,,,
133,Ukraine,2019,4.702,9.458,0.883,64.9,0.715,-0.081,0.885,0.634,0.201,43733759.0,44385155.0,44.086999999999996,41.4,0.0,2.206,8.929,0.0,0.0,0.059000000000000004,25.0,574123.0,587665.0,581114.0,616835.0,81.407
134,United Arab Emirates,2019,6.711,11.114,0.862,67.3,0.9109999999999999,0.129,,0.7929999999999999,0.284,9890400.0,9770529.0,6.763999999999999,34.0,0.0,1.199,8.821,0.0,0.0,0.6940000000000001,38.3,,,,,
135,United Kingdom,2019,7.157,10.751,0.943,72.5,0.8540000000000001,0.271,0.485,0.775,0.251,67886004.0,66834405.0,108.45,40.8,1.0,5.0089999999999995,9.087,0.0,0.0,0.268,34.07,606874.0,613309.0,600532.0,696705.0,133.313
136,United States,2019,6.944,11.043,0.917,68.2,0.836,0.14400000000000002,0.7070000000000001,0.815,0.244,331002647.0,328239523.0,104.45100000000001,38.3,0.0,1.6880000000000002,9.315,0.0,0.0,0.25,47.51,2810927.0,2839076.0,2852747.0,3424996.0,179.22
137,Uruguay,2019,6.6,9.979,0.9329999999999999,69.1,0.903,-0.095,0.599,0.889,0.222,3473727.0,3461734.0,5.21,35.6,0.0,0.5720000000000001,9.711,0.0,0.0,0.247,39.25,,,,,
138,Uzbekistan,2019,6.154,8.853,0.915,65.4,0.97,0.304,0.511,0.845,0.22,33469199.0,33580650.0,1.834,28.2,0.0,1.141,8.62,0.0,0.0,0.435,39.7,160723.0,154913.0,154570.0,175637.0,56.381
139,Venezuela,2019,5.081,,0.888,66.7,0.626,,0.8390000000000001,0.7609999999999999,0.35100000000000003,28435943.0,28515829.0,3.615,29.0,0.0,0.8909999999999999,9.564,0.0,0.0,0.12,37.8,,,,,
140,Vietnam,2019,5.4670000000000005,8.992,0.848,68.1,0.9520000000000001,-0.126,0.7879999999999999,0.7509999999999999,0.18600000000000003,97338583.0,96462106.0,0.036000000000000004,32.6,0.0,0.807,8.107999999999999,1.0,0.0,0.49,40.1,,,,,
141,Yemen,2019,4.197,,0.87,57.5,0.6509999999999999,,0.7979999999999999,0.5429999999999999,0.213,29825968.0,29161922.0,2.045,20.3,0.0,1.005,8.966000000000001,0.0,0.0,0.267,36.71,,,,,
142,Zambia,2019,3.307,8.155,0.638,55.8,0.8109999999999999,0.077,0.8320000000000001,0.743,0.39399999999999996,18383956.0,17861030.0,2.11,17.7,0.0,0.667,9.251,0.0,0.0,0.322,57.14,,,,,
143,Zimbabwe,2019,2.694,7.95,0.759,56.2,0.632,-0.064,0.831,0.716,0.235,14862927.0,14645468.0,2.4419999999999997,19.6,0.0,0.645,9.244,0.0,0.0,0.287,40.363,,,,,
