Country name,2019 year,2019 Life Ladder,2019 Log GDP per capita,2019 Social support,2019 Healthy life expectancy at birth,2019 Freedom to make life choices,2019 Generosity,2019 Perceptions of corruption,2019 Positive affect,2019 Negative affect,"COVID-19 deaths per 100,000 population in 2020",Median age,Index of institutional trust,Gini coefficient of income,"Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
Cyprus,2019,6.1370000000000005,10.585,0.7759999999999999,73.9,0.74,-0.008,0.865,0.763,0.29,13.585999999999999,37.3,0.174,29.1,60.513000000000005
Denmark,2019,7.693,10.954,0.958,72.7,0.963,0.02,0.174,0.862,0.18100000000000002,22.409000000000002,42.3,0.5720000000000001,27.8,25.534000000000002
Dominican Republic,2019,6.004,9.821,0.884,66.1,0.877,-0.12300000000000001,0.746,0.784,0.264,22.253,27.6,0.19899999999999998,44.4,
Ecuador,2019,5.809,9.339,0.8079999999999999,68.8,0.83,-0.115,0.8390000000000001,0.8109999999999999,0.374,79.544,28.1,0.205,45.4,251.745
Egypt,2019,4.328,9.373,0.772,62.0,0.774,-0.19899999999999998,,0.517,0.313,7.457000000000001,25.3,0.446,31.56,
El Salvador,2019,6.455,9.08,0.764,66.4,0.877,-0.109,0.682,0.871,0.271,20.459,27.6,0.239,40.5,
Estonia,2019,6.035,10.511,0.934,68.8,0.887,-0.096,0.5760000000000001,0.804,0.156,17.262999999999998,42.7,0.27,30.6,53.42100000000001
Ethiopia,2019,4.1,7.705,0.748,59.0,0.754,0.053,0.732,0.631,0.28300000000000003,1.673,19.8,0.397,33.498000000000005,
Finland,2019,7.78,10.792,0.937,72.0,0.948,-0.052000000000000005,0.195,0.755,0.18100000000000002,10.125,42.8,0.55,25.9,31.51
France,2019,6.69,10.74,0.958,74.0,0.8270000000000001,-0.133,0.568,0.735,0.25,99.212,42.0,0.23399999999999999,29.3,106.59700000000001
Gabon,2019,4.914,9.607000000000001,0.763,60.2,0.736,-0.203,0.846,0.693,0.413,2.875,23.1,0.10400000000000001,38.02,
Gambia,2019,5.164,7.699,0.6940000000000001,55.3,0.677,0.41,0.7979999999999999,0.773,0.401,5.131,17.5,0.489,35.92,
Georgia,2019,4.8919999999999995,9.617,0.675,64.3,0.8109999999999999,-0.26,0.647,0.604,0.244,62.795,38.7,0.198,37.94,
Germany,2019,7.035,10.892999999999999,0.8859999999999999,72.5,0.885,0.057,0.462,0.7509999999999999,0.226,40.330999999999996,46.6,0.435,31.1,73.548
Ghana,2019,4.967,8.596,0.746,57.6,0.787,0.11599999999999999,0.857,0.682,0.27,1.078,21.1,0.305,43.52,
Greece,2019,5.952000000000001,10.319,0.8909999999999999,72.6,0.614,-0.289,0.848,0.6679999999999999,0.23600000000000002,46.416000000000004,45.3,0.124,32.3,95.679
Guatemala,2019,6.2620000000000005,9.064,0.774,65.1,0.9009999999999999,-0.062,0.773,0.8590000000000001,0.311,26.865,22.9,0.28600000000000003,44.488,
Guinea,2019,4.768,7.849,0.655,55.5,0.691,0.09699999999999999,0.7559999999999999,0.685,0.473,0.617,19.0,0.349,33.73,
Honduras,2019,5.93,8.652999999999999,0.797,67.4,0.846,0.063,0.815,0.85,0.27899999999999997,31.601999999999997,24.9,0.209,48.1,
Hong Kong S.A.R. of China,2019,5.659,11.0,0.856,,0.727,0.067,0.43200000000000005,0.599,0.358,1.974,44.8,0.318,48.275,44.117
